sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
sample-100	5914934	195290	3,3	194451	156973	2,65	124411	2,1
sample-101	4957087	207720	4,19	206729	203140	4,1	186108	3,75
sample-102	4685931	159055	3,39	158717	155133	3,31	140858	3,01
sample-89	6894217	474419	6,88	472659	445805	6,47	432484	6,27
sample-90	9679094	700002	7,23	696718	654584	6,76	635832	6,57
sample-91	8437305	370396	4,39	369554	362347	4,29	330035	3,91
sample-92	7034086	283862	4,04	282943	276488	3,93	243512	3,46
sample-93	5544673	217420	3,92	216564	211167	3,81	200241	3,61
sample-94	54095	2658	4,91	2536	2358	4,36	2285	4,22
sample-95	4681837	216701	4,63	214269	202117	4,32	195356	4,17
sample-96	6101043	128530	2,11	126841	118739	1,95	115788	1,9
sample-97	8353149	437199	5,23	435992	427562	5,12	387911	4,64
sample-98	5775372	203617	3,53	202987	198718	3,44	181065	3,14
sample-99	6568540	200735	3,06	199876	163669	2,49	136489	2,08
